,SK_ID_PREV
count,3081677.0
mean,1903980.2187734146
std,536534.706026779
min,1000018.0
25%,1431703.0
50%,1895516.0
75%,2369259.0
max,2843493.0
,SK_ID_CURR
count,3081677.0
mean,278194.7831803917
std,102630.46894567752
min,100006.0
25%,189376.0
50%,277946.0
75%,367398.0
max,456248.0
,MONTHS_BALANCE
count,3081677.0
mean,-34.346197541143994
std,26.481105775415227
min,-96.0
25%,-55.0
50%,-27.0
75%,-11.0
max,-1.0
,AMT_BALANCE
count,3081677.0
mean,59906.27829407931
std,107905.98045714677
min,-420250.185
25%,0.0
50%,0.0
75%,91306.71
max,1218896.64
,AMT_CREDIT_LIMIT_ACTUAL
count,3081677.0
mean,155411.7957527671
std,165827.07058904375
min,0.0
25%,45000.0
50%,135000.0
75%,180000.0
max,1350000.0
,AMT_DRAWINGS_ATM_CURRENT
count,2489096.0
mean,6176.028582523533
std,28885.00481632476
min,-6827.31
25%,0.0
50%,0.0
75%,0.0
max,2115000.0
,AMT_DRAWINGS_CURRENT
count,3081677.0
mean,7585.97158864954
std,34101.054784061205
min,-6211.62
25%,0.0
50%,0.0
75%,0.0
max,2115000.0
,AMT_DRAWINGS_OTHER_CURRENT
count,2489096.0
mean,307.0306489263572
std,8566.987260020722
min,0.0
25%,0.0
50%,0.0
75%,0.0
max,1529847.0
,AMT_DRAWINGS_POS_CURRENT
count,2489096.0
mean,2889.722354119789
std,20014.964701932106
min,0.0
25%,0.0
50%,0.0
75%,0.0
max,2060030.16
,AMT_INST_MIN_REGULARITY
count,2827511.0
mean,3638.357786699942
std,5672.0449813748255
min,0.0
25%,0.0
50%,0.0
75%,6750.0
max,202882.005
,AMT_PAYMENT_CURRENT
count,2475527.0
mean,10376.483154834279
std,36100.20286796916
min,0.0
25%,157.635
50%,3150.0
75%,9000.0
max,4289207.445
,AMT_PAYMENT_TOTAL_CURRENT
count,3081677.0
mean,7693.228639938339
std,32072.592944087184
min,0.0
25%,0.0
50%,0.0
75%,6750.0
max,4278315.69
,AMT_RECEIVABLE_PRINCIPAL
count,3081677.0
mean,57502.50465045845
std,104071.46376532897
min,-423305.82
25%,0.0
50%,0.0
75%,87496.74
max,1185785.685
,AMT_RECIVABLE
count,3081677.0
mean,59690.23704514114
std,107558.81654722388
min,-420250.185
25%,0.0
50%,0.0
75%,91021.68
max,1210510.755
,AMT_TOTAL_RECEIVABLE
count,3081677.0
mean,59699.56635569176
std,107565.17248324591
min,-420250.185
25%,0.0
50%,0.0
75%,91037.385
max,1210510.755
,CNT_DRAWINGS_ATM_CURRENT
count,2489096.0
mean,0.3214275383512729
std,1.1259799453457449
min,0.0
25%,0.0
50%,0.0
75%,0.0
max,51.0
,CNT_DRAWINGS_CURRENT
count,3081677.0
mean,0.7038758442237781
std,3.157669957380549
min,0.0
25%,0.0
50%,0.0
75%,0.0
max,165.0
,CNT_DRAWINGS_OTHER_CURRENT
count,2489096.0
mean,0.0050162790024972925
std,0.08425861843090945
min,0.0
25%,0.0
50%,0.0
75%,0.0
max,12.0
,CNT_DRAWINGS_POS_CURRENT
count,2489096.0
mean,0.5450042907143798
std,3.1784291353367027
min,0.0
25%,0.0
50%,0.0
75%,0.0
max,165.0
,CNT_INSTALMENT_MATURE_CUM
count,2827511.0
mean,20.888010338421317
std,19.949959735685763
min,0.0
25%,4.0
50%,15.0
75%,32.0
max,120.0
,NAME_CONTRACT_STATUS
count,3081677
unique,7
top,Active
freq,2975159
,NAME_CONTRACT_STATUS
Active,2975159
Completed,95431
Signed,9774
Demand,843
Sent proposal,451
Refused,14
Approved,5
,SK_DPD
count,3081677.0
mean,8.521884350631167
std,92.12468975571421
min,0.0
25%,0.0
50%,0.0
75%,0.0
max,2800.0
,SK_DPD_DEF
count,3081677.0
mean,0.28272722936245426
std,19.725382545897258
min,0.0
25%,0.0
50%,0.0
75%,0.0
max,2800.0
